Nombre,Dulce,Crujiente,Tipo
"Red Snapper - Fillet, Skin On",22,61,Brassicaceae
"Juice - Grape, White",75,19,Parmeliaceae
"Juice - Cranberry, 341 Ml",54,15,Iridaceae
Cake Slab,55,90,Cyperaceae
Table Cloth 54x54 White,29,45,Orchidaceae
Muffin Batt - Blueberry Passion,30,4,Oleaceae
Peppercorns - Green,15,75,Cucurbitaceae
Bouq All Italian - Primerba,42,50,Rubiaceae
"Cheese - Cheddar, Old White",64,83,Fissidentaceae
Sobe - Berry Energy,66,29,Fabaceae
Oil - Olive,99,88,Rubiaceae
Pastrami,97,38,Scrophulariaceae
"Wine - Red, Mouton Cadet",20,10,Liliaceae
Silicone Parch. 16.3x24.3,54,16,Polygonaceae
The Pop Shoppe - Black Cherry,52,24,Fabaceae
Mints - Striped Red,37,13,Leucodontaceae
"Wine - Bourgogne 2002, La",66,93,Apiaceae
Crackers - Graham,35,11,Scrophulariaceae
Daikon Radish,16,43,Rubiaceae
Pastry - Carrot Muffin - Mini,2,41,Onagraceae
Alize Red Passion,19,17,Fabaceae
Wine - Delicato Merlot,81,27,Verbenaceae
Vinegar - White,91,40,Loganiaceae
Puree - Raspberry,28,72,Pteridaceae
Lemonade - Pineapple Passion,94,84,Asteraceae
Shrimp - Black Tiger 26/30,26,58,Orchidaceae
Lychee,58,91,Ophioglossaceae
"Pork - Butt, Boneless",69,2,Parmeliaceae
Blue Curacao - Marie Brizard,61,71,Typhaceae
Tart - Raisin And Pecan,66,91,Onagraceae
"Soup - Campbells, Creamy",19,99,Polygonaceae
Star Fruit,92,95,Caprifoliaceae
"Tomatoes - Diced, Canned",61,65,Lamiaceae
Wine - Masi Valpolocell,67,36,Nyctaginaceae
"Beef - Bones, Cut - Up",98,92,Fabaceae
Lettuce - Romaine,73,27,Caryophyllaceae
Taro Leaves,75,3,Orchidaceae
Emulsifier,63,92,Physciaceae
Longos - Lasagna Veg,17,87,Vitaceae
Beer - Molson Excel,32,46,Brachytheciaceae
Tea - English Breakfast,1,41,Fabaceae
Turkey Tenderloin Frozen,80,61,Solanaceae
Muffin Batt - Carrot Spice,98,96,Hymenophyllaceae
Towel Dispenser,66,49,Scrophulariaceae
Ginger - Crystalized,32,42,Pteridaceae
Baking Soda,16,5,Boraginaceae
"Beets - Candy Cane, Organic",71,89,Ramalinaceae
"Wine - Red, Metus Rose",30,22,Solanaceae
"Doilies - 5, Paper",40,50,Caryophyllaceae
Veal - Ground,45,27,Nymphaeaceae
Sandwich Wrap,22,30,Ranunculaceae
Bread - Burger,35,59,Orchidaceae
Soup - Campbells Chicken,46,66,Malvaceae
Chip - Potato Dill Pickle,47,90,Asteraceae
Wine - Acient Coast Caberne,62,63,Brassicaceae
Banana - Leaves,74,100,Rutaceae
Wine - Mondavi Coastal Private,15,81,Geraniaceae
Trout - Smoked,64,48,Ranunculaceae
Island Oasis - Lemonade,31,70,Fabaceae
Plastic Wrap,15,4,Lythraceae
Muffin Mix - Lemon Cranberry,4,10,Isoetaceae
Oil - Pumpkinseed,26,27,Rosaceae
"Pasta - Fettuccine, Dry",95,33,Lamiaceae
Chocolate - Semi Sweet,99,59,Poaceae
Sausage - Blood Pudding,49,27,Caryophyllaceae
"Noodles - Cellophane, Thin",49,34,Boraginaceae
Lettuce - Curly Endive,11,62,Euphorbiaceae
Basil - Pesto Sauce,8,9,Liliaceae
Myers Planters Punch,63,86,Lamiaceae
Cinnamon - Stick,42,84,Asteraceae
"Tabasco Sauce, 2 Oz",93,40,Amaranthaceae
Sprouts - China Rose,25,80,Cladoniaceae
Bacardi Breezer - Tropical,72,57,Nyctaginaceae
Lid Coffee Cup 8oz Blk,57,87,Polygonaceae
Wine - White Cab Sauv.on,66,29,Rosaceae
"Crush - Grape, 355 Ml",73,90,Iridaceae
Chinese Foods - Chicken,59,63,Iridaceae
Pastry - Chocolate Marble Tea,12,69,Hydrangeaceae
Salami - Genova,67,67,Liliaceae
Sansho Powder,64,33,Gentianaceae
"Basil - Dry, Rubbed",28,68,Rubiaceae
Munchies Honey Sweet Trail Mix,75,89,Asteraceae
Southern Comfort,100,29,Asteraceae
Duck - Breast,12,27,Fabaceae
French Kiss Vanilla,1,76,Salviniaceae
Cheese - Parmesan Cubes,41,97,Fabaceae
Taro Root,62,16,Onagraceae
Wine - George Duboeuf Rose,58,34,Aspleniaceae
Vinegar - Sherry,17,2,Styracaceae
"Tart Shells - Savory, 2",18,78,Rosaceae
Juice - Orange 1.89l,56,89,Thelotremataceae
Cake - Lemon Chiffon,45,74,Scrophulariaceae
Cream - 10%,75,72,Scrophulariaceae
Wine - Prosecco Valdobienne,39,72,Malpighiaceae
Roe - Flying Fish,70,47,Fabaceae
Wine - Chardonnay South,100,67,Asteraceae
Water - Tonic,42,46,Fabaceae
Lid Tray - 12in Dome,82,13,Asteraceae
Beans - Yellow,100,57,Sarraceniaceae
Table Cloth 72x144 White,4,29,Pteridaceae
Anchovy Paste - 56 G Tube,35,98,Pteridaceae
Sausage - Chorizo,55,12,Asteraceae
Bacardi Breezer - Tropical,99,3,Polemoniaceae
"Pail - 4l White, With Handle",72,6,Asteraceae
"Mop Head - Cotton, 24 Oz",66,49,Fabaceae
Milk - Chocolate 500ml,55,52,Lygodiaceae
Nantuket Peach Orange,52,40,Fagaceae
Cheese - Marble,61,54,Scrophulariaceae
Appetizer - Southwestern,9,12,Lichinaceae
"Wine - White, Gewurtzraminer",62,8,Myrtaceae
Oil - Sunflower,95,65,Saxifragaceae
Breakfast Quesadillas,26,38,Iridaceae
Cheese - Montery Jack,26,29,Lauraceae
Sour Cream,47,98,Ericaceae
Lettuce - Sea / Sea Asparagus,83,71,Euphorbiaceae
Wine - Stoneliegh Sauvignon,53,70,Euphorbiaceae
"Glass - Wine, Plastic, Clear 5 Oz",69,71,Asclepiadaceae
Crab - Soft Shell,43,80,Ericaceae
Kiwano,39,6,Fabaceae
Table Cloth 81x81 Colour,72,75,Liliaceae
"Juice - Tomato, 48 Oz",27,37,Orchidaceae
Bread - White Mini Epi,70,43,Saxifragaceae
Icecream Bar - Del Monte,41,34,Poaceae
"Cheese - Cheddar, Medium",47,96,Fabaceae
Soup - Campbells Bean Medley,49,47,Neckeraceae
Pepper - Jalapeno,84,25,Campanulaceae
"Bread - Bagels, Plain",79,80,Primulaceae
Muffin - Zero Transfat,69,89,Rosaceae
"Chicken - White Meat, No Tender",95,89,Tetraphidaceae
Orange Roughy 6/8 Oz,53,86,Convolvulaceae
Muffin Mix - Carrot,26,22,Vitaceae
Ginger - Pickled,16,77,Euphorbiaceae
Taro Root,46,48,Polygalaceae
Wine - Champagne Brut Veuve,93,18,Fabaceae
Vinegar - Champagne,36,49,Fagaceae
Bay Leaf Fresh,10,28,Brassicaceae
Jello - Assorted,85,20,Strigulaceae
Sugar - Crumb,25,43,Cyperaceae
Sauce - Salsa,53,43,Cactaceae
Energy Drink - Redbull 355ml,2,16,Malvaceae
Mix - Cappucino Cocktail,63,33,Liliaceae
Energy - Boo - Koo,15,47,Asteraceae
Milk Powder,72,7,Campanulaceae
Brandy Apricot,87,14,Oxalidaceae
Sun - Dried Tomatoes,13,50,Apocynaceae
Bay Leaf,92,21,Cyperaceae
Saskatoon Berries - Frozen,95,50,Asteraceae
Chips Potato Salt Vinegar 43g,75,33,Malpighiaceae
"Quail - Whole, Bone - In",83,99,Ephedraceae
Bread - 10 Grain,13,37,Cistaceae
Wine - Chianti Classica Docg,18,95,Fabaceae
Flour - Strong,6,84,Hydrophyllaceae
Sauce - Cranberry,63,62,Arecaceae
Island Oasis - Ice Cream Mix,45,17,Parmeliaceae
"Soup - Knorr, Ministrone",83,97,Fabaceae
Extract - Lemon,73,52,Saxifragaceae
Berry Brulee,5,83,Acanthaceae
Compound - Pear,44,49,Asteraceae
Wiberg Cure,26,56,Fabaceae
"Crush - Orange, 355ml",24,85,Ranunculaceae
Cream - 10%,56,48,Cyatheaceae
Wine - Toasted Head,50,51,Apiaceae
Energy Drink - Franks Pineapple,97,45,Fagaceae
Kippers - Smoked,29,10,Rosaceae
Quail - Jumbo Boneless,93,37,Rhamnaceae
Lobster - Cooked,52,32,Araceae
Cake Slab,50,39,Arecaceae
Vol Au Vents,62,4,Haloragaceae
Ham - Cooked Bayonne Tinned,77,61,Rutaceae
"Doilies - 8, Paper",90,75,Clusiaceae
Dry Ice,68,38,Asteraceae
Broom - Angled,36,61,Asteraceae
Sultanas,4,2,Onagraceae
Wine - Vouvray Cuvee Domaine,96,20,Rhachitheciaceae
Wine - Periguita Fonseca,43,72,Parmeliaceae
Lobster - Base,98,31,Caryophyllaceae
Table Cloth 54x72 Colour,55,12,Asteraceae
"Vinegar - Balsamic, White",9,90,Marantaceae
"Roe - Lump Fish, Red",86,100,Cunoniaceae
Rice - Jasmine Sented,56,70,Asteraceae
Flounder - Fresh,7,32,Asteraceae
Bacardi Raspberry,30,81,Liliaceae
"Pork - Butt, Boneless",47,63,Trapeliaceae
Vinegar - Red Wine,88,75,Vitaceae
Sobe - Green Tea,13,14,Parmeliaceae
Sword Pick Asst,60,97,Fabaceae
"Veal - Inside Round / Top, Lean",79,20,Solanaceae
Beer - True North Lager,18,16,Rosaceae
Food Colouring - Pink,48,44,Liliaceae
Salt And Pepper Mix - Black,26,26,Fabaceae
Table Cloth 91x91 Colour,78,58,Rhamnaceae
Blueberries - Frozen,2,94,Caryophyllaceae
Radish,81,25,Poaceae
"Mushroom - Oyster, Fresh",24,34,Asteraceae
Ice Cream - Chocolate,6,6,Rosaceae
"Pasta - Elbows, Macaroni, Dry",26,11,Asteraceae
Lemons,2,38,Rubiaceae
Muffin - Mix - Strawberry Rhubarb,75,62,Scrophulariaceae
Juice - Orange 1.89l,87,69,Hydrophyllaceae
Foam Tray S2,1,85,Buxaceae
"Beef - Chuck, Boneless",36,89,Cyperaceae
Ice Cream Bar - Hageen Daz To,54,55,Bryaceae
Calaloo,31,71,Polygonaceae
Soupfoamcont12oz 112con,50,73,Grammitidaceae
"Juice - Cranberry, 341 Ml",49,16,Leucodontaceae
Chips Potato All Dressed - 43g,26,13,Lecanoraceae
Pasta - Ravioli,67,19,Poaceae
"Rum - Spiced, Captain Morgan",74,54,Fabaceae
Energy Drink Red Bull,2,33,Fabaceae
Sage - Rubbed,75,89,Primulaceae
Drambuie,9,46,Orchidaceae
Ham Black Forest,68,54,Ditrichaceae
"Oil - Truffle, White",52,22,Pottiaceae
Cookies Almond Hazelnut,12,44,Fagaceae
Vodka - Smirnoff,41,54,Poaceae
Soap - Mr.clean Floor Soap,61,71,Sapindaceae
Caviar - Salmon,13,66,Rhamnaceae
Gooseberry,95,87,Fabaceae
Initation Crab Meat,65,72,Cactaceae
Trout Rainbow Whole,61,77,Cucurbitaceae
Melon - Honey Dew,63,95,Brassicaceae
Cheese - Swiss,23,87,Apocynaceae
Longos - Chicken Cordon Bleu,15,74,Rosaceae
Wine - Wyndham Estate Bin 777,27,57,Lamiaceae
Capon - Whole,26,41,Thymelaeaceae
Lighter - Bbq,97,40,Rhizocarpaceae
Cheese - Swiss Sliced,27,70,Poaceae
Macaroons - Two Bite Choc,2,23,Porpidiaceae
"Sugar - Brown, Individual",85,77,Rosaceae
Wasabi Paste,15,43,Campanulaceae
Wine - Ruffino Chianti,52,17,Balsaminaceae
Tart - Pecan Butter Squares,61,61,Lobariaceae
Energy Drink Red Bull,24,12,Apiaceae
Muffin Batt - Carrot Spice,88,58,Liliaceae
Wine - Casablanca Valley,10,48,Euphorbiaceae
Apple - Macintosh,94,91,Onagraceae
Dried Peach,30,3,Rosaceae
Chocolate - Chips Compound,39,4,Hydrophyllaceae
Hand Towel,29,14,Parmeliaceae
Cheese - Provolone,84,62,Caryophyllaceae
"Wine - White, Lindemans Bin 95",2,97,Parmeliaceae
Mix - Cocktail Ice Cream,16,46,Apiaceae
Beans - Green,71,7,Ranunculaceae
Pork - Belly Fresh,50,83,Asteraceae
Appetizer - Assorted Box,57,9,Polygonaceae
Swiss Chard - Red,5,81,Plantaginaceae
Stock - Fish,47,23,Brassicaceae
Rhubarb,17,70,Sphagnaceae
Lemon Balm - Fresh,46,56,Fabaceae
"Turkey - Breast, Bone - In",44,3,Agavaceae
Breadfruit,29,4,Sarraceniaceae
"Doilies - 8, Paper",38,16,Poaceae
Truffle - Peelings,74,79,Polygonaceae
Beef - Sushi Flat Iron Steak,55,20,Caryophyllaceae
"Fish - Base, Bouillion",18,97,Lamiaceae
Table Cloth 54x54 White,71,36,Rosaceae
Numi - Assorted Teas,80,17,Rosaceae
Ecolab - Hand Soap Form Antibac,23,4,Euphorbiaceae
"Bread - White, Unsliced",47,54,Orthotrichaceae
Cafe Royale,91,22,Asteraceae
Rambutan,17,39,Rosaceae
Wine - Chardonnay Mondavi,60,7,Calycanthaceae
Butter - Pod,90,77,Cyperaceae
Table Cloth 144x90 White,94,82,Hypnaceae
Arctic Char - Fillets,32,69,Asteraceae
"Pork - Back, Long Cut, Boneless",50,31,Menispermaceae
Avocado,12,78,Brassicaceae
Cheese - Asiago,43,81,Cistaceae
Soup - Campbells Chili,21,4,Cyperaceae
"Beans - Kidney, Canned",35,17,Asteraceae
Pears - Anjou,2,11,Rosaceae
Slt - Individual Portions,40,76,Fabaceae
"Schnappes - Peach, Walkers",19,45,Fabaceae
Cheese - Brick With Onion,24,47,Asteraceae
Ice Cream - Life Savers,3,13,Malvaceae
Muffin Carrot - Individual,99,3,Cyperaceae
Mushroom - Portebello,8,94,Araceae
"Wine - Red, Black Opal Shiraz",70,71,Asteraceae
Tray - 12in Rnd Blk,81,16,Asteraceae
Tomatoes - Yellow Hot House,77,56,Asteraceae
Wine - Maipo Valle Cabernet,72,6,Pterigynandraceae
Plaintain,5,59,Agavaceae
Shiratamako - Rice Flour,36,63,Chenopodiaceae
Table Cloth 91x91 Colour,53,59,Fabaceae
Dip - Tapenade,9,11,Polygonaceae
Coffee Caramel Biscotti,66,88,Dryopteridaceae
Wine - Saint Emilion Calvet,30,99,Malvaceae
Shortbread - Cookie Crumbs,8,95,Onagraceae
Cookie - Oatmeal,24,83,Poaceae
Extract - Rum,19,78,Myrtaceae
"Lid - High Heat, Super Clear",21,27,Cactaceae
Dried Cherries,69,80,Asteraceae
Pernod,4,95,Chenopodiaceae
Truffle - Peelings,76,84,Malvaceae
"Mushroom - Enoki, Fresh",77,82,Fabaceae
Cake - Cheese Cake 9 Inch,84,69,Pertusariaceae
Lamb - Ground,97,40,Urticaceae
Duck - Breast,92,11,Gentianaceae
Coffee - 10oz Cup 92961,5,39,Scrophulariaceae
Veal - Knuckle,68,84,Malvaceae
"Doilies - 8, Paper",82,49,Menispermaceae
Wonton Wrappers,96,21,Poaceae
Currants,53,67,Strigulaceae
"Sugar - Sweet N Low, Individual",80,77,Potamogetonaceae
Coffee - Hazelnut Cream,15,76,Scrophulariaceae
Kohlrabi,87,79,Lecanoraceae
Pork - Ground,63,57,Verbenaceae
Longos - Grilled Salmon With Bbq,97,9,Chenopodiaceae
Cabbage - Nappa,64,68,Convolvulaceae
Fudge - Chocolate Fudge,10,25,Fabaceae
Sprouts - Pea,80,41,Clusiaceae
Meldea Green Tea Liquor,64,68,Asteraceae
Amarula Cream,37,35,Portulacaceae
Wine - Crozes Hermitage E.,5,2,Polemoniaceae
Wine - Muscadet Sur Lie,91,7,Brassicaceae
Nantucket - Orange Mango Cktl,90,88,Fabaceae
Godiva White Chocolate,8,95,Asteraceae
Lemonade - Pineapple Passion,47,45,Rosaceae
Strawberries - California,68,5,Poaceae
"Sauce - Black Current, Dry Mix",50,36,Cactaceae
Carrots - Mini Red Organic,29,14,Aceraceae
Bread - Bistro White,80,87,Asteraceae
Mustard - Individual Pkg,26,92,Rubiaceae
Anchovy Fillets,14,92,Geraniaceae
"Nestea - Ice Tea, Diet",72,40,Asteraceae
Beer - Pilsner Urquell,52,85,Convolvulaceae
Bay Leaf,50,5,Cyperaceae
Cake - Miini Cheesecake Cherry,19,15,Cladoniaceae
Spring Roll Veg Mini,46,5,Asteraceae
Cucumber - Pickling Ontario,77,41,Asteraceae
Carrots - Mini Red Organic,6,45,Asteraceae
Beef - Diced,95,94,Fabaceae
Country Roll,100,77,Polemoniaceae
Lotus Root,76,50,Cyperaceae
Salt - Celery,10,10,Amaranthaceae
Tomatoes - Heirloom,62,54,Poaceae
Carbonated Water - Orange,94,5,Ericaceae
Cake Slab,75,69,Polygonaceae
Sambuca - Ramazzotti,85,50,Bignoniaceae
Syrup - Monin - Passion Fruit,95,42,Arecaceae
Tomato - Green,63,58,Fabaceae
Sugar Thermometer,43,6,Scrophulariaceae
Island Oasis - Peach Daiquiri,38,42,Commelinaceae
"Nut - Hazelnut, Ground, Natural",86,80,Brassicaceae
Fudge - Chocolate Fudge,66,84,Callitrichaceae
Chocolate - Unsweetened,8,40,Dennstaedtiaceae
Jam - Apricot,32,58,Polygonaceae
Lamb - Loin Chops,12,1,Fabaceae
"Capon - Breast, Wing On",79,51,Asteraceae
Kumquat,26,55,Teloschistaceae
Water - Perrier,46,81,Convolvulaceae
Rye Special Old,15,42,Malvaceae
Peach - Fresh,75,70,Asteraceae
"Beans - Turtle, Black, Dry",28,12,Asteraceae
Sandwich Wrap,26,83,Caprifoliaceae
Apricots - Halves,25,81,Convolvulaceae
Remy Red,72,2,Liliaceae
Soup - Campbells Asian Noodle,68,9,Zingiberaceae
"Soup - Beef, Base Mix",57,86,Scrophulariaceae
Table Cloth 90x90 Colour,64,19,Asteraceae
Soup - Boston Clam Chowder,65,79,Asteraceae
Soap - Hand Soap,82,11,Sterculiaceae
Mackerel Whole Fresh,73,46,Papaveraceae
Beer - Muskoka Cream Ale,3,38,Callicostaceae
Sobe - Orange Carrot,12,84,Hydrophyllaceae
Oil - Safflower,88,12,Cyperaceae
Beer - Blue,56,55,Asteraceae
Island Oasis - Raspberry,49,82,Catillariaceae
Wine - Placido Pinot Grigo,28,71,Melastomataceae
"Fish - Atlantic Salmon, Cold",41,3,Ranunculaceae
Bread Roll Foccacia,54,5,Scrophulariaceae
Pasta - Cheese / Spinach Bauletti,83,56,Convolvulaceae
"Star Anise, Whole",83,42,Acanthaceae
"Basil - Primerba, Paste",56,58,Brassicaceae
Bacardi Mojito,33,59,Liliaceae
Yukon Jack,10,66,Plantaginaceae
Lettuce - Escarole,100,38,Ericaceae
"Wine - White, Cooking",91,67,Ranunculaceae
Carbonated Water - White Grape,100,81,Cladoniaceae
Lamb - Whole Head Off,64,25,Brassicaceae
Glove - Cutting,59,15,Ranunculaceae
Island Oasis - Raspberry,61,52,Saxifragaceae
Flower - Daisies,3,76,Adoxaceae
Salt - Sea,35,74,Fabaceae
"Yogurt - Cherry, 175 Gr",31,100,Cactaceae
"Chocolate - Pistoles, Lactee, Milk",36,45,Asteraceae
Wine - Niagara Peninsula Vqa,39,68,Scrophulariaceae
Wasabi Powder,77,77,Poaceae
Shichimi Togarashi Peppeers,38,45,Sphagnaceae
Shrimp - Tiger 21/25,93,13,Fabaceae
Bread - Corn Muffaletta,2,10,Orchidaceae
"Wine - Red, Pinot Noir, Chateau",56,26,Mycosphaerellaceae
Bagel - Everything Presliced,31,4,Asteraceae
Foam Tray S2,32,7,Grimmiaceae
Lobak,95,36,Acarosporaceae
Oil - Olive,18,57,Asteraceae
Onion - Dried,19,37,Annonaceae
Quinoa,67,40,Pyrenulaceae
Bread - Calabrese Baguette,11,22,Graphidaceae
Cheese - Parmigiano Reggiano,36,98,Asteraceae
Lid Coffeecup 12oz D9542b,3,93,Polemoniaceae
Coffee Cup 12oz 5342cd,98,56,Ramalinaceae
Cheese - Feta,73,71,Dicranaceae
Tea - Decaf 1 Cup,2,23,Fabaceae
Bread - Focaccia Quarter,1,98,Phyllachoraceae
Juice - Ocean Spray Kiwi,97,9,Asteraceae
Coriander - Ground,64,43,Asteraceae
Trueblue - Blueberry 12x473ml,42,20,Fabaceae
Gatorade - Lemon Lime,83,75,Cactaceae
Gooseberry,60,95,Crassulaceae
Potatoes - Idaho 100 Count,85,97,Boraginaceae
Cheese - Asiago,1,31,Apiaceae
Wine - Tribal Sauvignon,88,19,Fabaceae
Flour - Rye,72,40,Archidiaceae
Radish - Pickled,22,11,Rosaceae
Knife Plastic - White,73,81,Lecideaceae
Muffin Mix - Lemon Cranberry,8,27,Cyperaceae
Spice - Onion Powder Granulated,8,4,Juncaceae
"Trout - Hot Smkd, Dbl Fillet",28,19,Poaceae
V8 - Berry Blend,65,26,Cyperaceae
Sesame Seed Black,99,95,Brassicaceae
"Beef - Cooked, Corned",5,47,Rosaceae
Chocolate - Chips Compound,60,56,Acanthaceae
Allspice - Jamaican,100,39,Hydrophyllaceae
"Garlic - Primerba, Paste",26,97,Dryopteridaceae
Huck White Towels,68,28,Lamiaceae
"Bread - Roll, Italian",76,79,Scrophulariaceae
Coffee - Decaffeinato Coffee,20,97,Portulacaceae
Juice - Orange,50,65,Asteraceae
"Cheese - Mozzarella, Shredded",6,52,Caryophyllaceae
Bread - Bistro White,84,36,Placynthiaceae
Snails - Large Canned,86,8,Theophrastaceae
"Vodka - Hot, Lnferno",17,20,Caprifoliaceae
Ecolab - Mikroklene 4/4 L,36,92,Solanaceae
Parsley - Fresh,99,63,Aloaceae
"Cheese - Romano, Grated",11,21,Solanaceae
Spaghetti Squash,38,14,Asteraceae
Drambuie,91,92,Ericaceae
The Pop Shoppe - Grape,92,44,Poaceae
Bagel - 12 Grain Preslice,61,100,Teloschistaceae
Oil - Coconut,79,87,Tamaricaceae
Water Chestnut - Canned,72,27,Parmeliaceae
Kiwi,11,66,Poaceae
Puree - Raspberry,84,82,Fabaceae
Absolut Citron,60,51,Convolvulaceae
Grapes - Green,77,40,Asteraceae
Wine - Stoneliegh Sauvignon,6,73,Asteraceae
Pectin,98,5,Fabaceae
"Stock - Beef, Brown",3,41,Asteraceae
"Pasta - Rotini, Colour, Dry",65,18,Scrophulariaceae
Slt - Individual Portions,58,81,Dryopteridaceae
French Pastries,69,13,Malvaceae
Bagelers - Cinn / Brown,94,43,Violaceae
"Vinegar - Balsamic, White",17,63,Poaceae
"Oil - Olive, Extra Virgin",12,95,Myrtaceae
Rosemary - Fresh,7,30,Rosaceae
"Rum - Cream, Amarula",99,8,Passifloraceae
Apricots - Halves,16,71,Piperaceae
"Beef - Ox Tongue, Pickled",68,86,Fabaceae
Fudge - Cream Fudge,8,15,Ericaceae
Pernod,73,43,Lamiaceae
"Pepper - Chipotle, Canned",8,41,Poaceae
Oil - Hazelnut,1,37,Parmeliaceae
Milk - Condensed,95,3,Myrtaceae
Bread - French Stick,10,69,Polemoniaceae
Bread - Rosemary Focaccia,38,76,Orthotrichaceae
Sugar - Splenda Sweetener,17,35,Pteridaceae
Hot Choc Vending,87,26,Menispermaceae
Chick Peas - Dried,88,26,Amblystegiaceae
"Mushroom - Oyster, Fresh",85,72,Ophioglossaceae
Coffee Caramel Biscotti,90,38,Asteraceae
"Placemat - Scallop, White",96,98,Asteraceae
Flour - Strong,61,14,Saxifragaceae
"Pork - Bacon, Double Smoked",37,87,Liliaceae
Beer - Tetleys,7,60,Poaceae
Venison - Ground,60,13,Scrophulariaceae
"Lemonade - Island Tea, 591 Ml",80,83,Fabaceae
Aspic - Clear,81,30,Dicranaceae
Green Tea Refresher,92,45,Fabaceae
Coffee - French Vanilla Frothy,33,80,Lobariaceae
"Wine - Magnotta - Red, Baco",52,27,Viscaceae
Beef - Inside Round,87,65,Asteraceae
Fuji Apples,64,46,Apiaceae
Quail - Jumbo Boneless,24,28,Cactaceae
"Veal - Insides, Grains",34,56,Campanulaceae
Wasabi Powder,84,58,Scrophulariaceae
Hog / Sausage Casing - Pork,59,34,Brachytheciaceae
Skewers - Bamboo,3,84,Asteraceae
Praline Paste,35,12,Stereocaulaceae
Mince Meat - Filling,58,31,Gentianaceae
Cumin - Ground,11,60,Poaceae
"Fish - Halibut, Cold Smoked",93,3,Lamiaceae
Soup - Chicken And Wild Rice,64,66,Euphorbiaceae
Ecolab - Ster Bac,15,28,Alismataceae
"Pepper - Black, Crushed",89,92,Teloschistaceae
Tea - Jasmin Green,4,11,Poaceae
Lettuce - Sea / Sea Asparagus,21,75,Cyperaceae
Cafe Royale,63,36,Cactaceae
"Orange - Canned, Mandarin",27,1,Cyperaceae
Sprouts - Corn,27,22,Fontinalaceae
Wine - Lou Black Shiraz,16,33,Pterigynandraceae
"Cheese - Mozzarella, Shredded",59,7,Garryaceae
